"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"0";"R-US_R0603";"R0603";"R4, R21";"RESISTOR, American symbol";"";
"14";"0.1uF";"C-USC0603";"C0603";"C1, C2, C6, C11, C12, C13, C14, C15, C16, C17, C18, C20, C21, C25";"CAPACITOR, American symbol";"";
"1";"0541323062";"0541323062";"0541323062";"J3";"30 Position FFC, FPC Connector Contacts, Bottom 0.020" (0.50mm) Surface Mount, Right Angle";"";
"1";"1.87k 1%";"R-US_R0603";"R0603";"R14";"RESISTOR, American symbol";"";
"3";"100k";"R-US_R0603";"R0603";"R2, R5, R8";"RESISTOR, American symbol";"";
"3";"10k";"R-US_R0603";"R0603";"R1, R19, R22";"RESISTOR, American symbol";"";
"2";"10k 1%";"R-US_R0603";"R0603";"R15, R16";"RESISTOR, American symbol";"";
"4";"10uF";"C-USC0603";"C0603";"C26, C27, C28, C29";"CAPACITOR, American symbol";"";
"1";"10uF";"C-USC0805";"C0805";"C7";"CAPACITOR, American symbol";"";
"7";"1k";"R-US_R0603";"R0603";"R6, R7, R9, R10, R11, R12, R20";"RESISTOR, American symbol";"";
"12";"1uF";"C-USC0603";"C0603";"C3, C4, C5, C9, C19, C22, C23, C24, C30, C31, C32, C33";"CAPACITOR, American symbol";"";
"1";"2.2k";"R-US_R0603";"R0603";"R3";"RESISTOR, American symbol";"";
"2";"22pF";"C-USC0603";"C0603";"C8, C10";"CAPACITOR, American symbol";"";
"1";"2A";"CHIP_FUSE0603";"F0603";"F2";"";"";
"1";"32.768";"XTAL-3.2X1.5";"XTAL3215";"X2";"Low cost SMT crystals, no capacitors included";"";
"3";"330";"R-US_R0603";"R0603";"R17, R18, R23";"RESISTOR, American symbol";"";
"1";"4.7uH";"L-US-0805";"L0805";"L1";"";"";
"1";"5.62k 1%";"R-US_R0603";"R0603";"R13";"RESISTOR, American symbol";"";
"1";"500mA";"CHIP_FUSE0603";"F0603";"F1";"";"";
"1";"6-PIN_2MM-V";"6-PIN_2MM-V";"2MM-6-V";"J4";"";"";
"1";"ATSAMD21J_QFN";"ATSAMD21J_QFN";"TQFN48_7MM";"U1";"";"";
"1";"ATWINC1500_MR210PA";"ATWINC1500_MR210PA";"ATWINC1500_MR210PA";"X3";"ATWINC1500_MR210PA wifi module";"";
"1";"B2PS-VH(LF)(SN)";"B2PS-VH(LF)(SN)";"B2PS-CENTERED";"J6";"Power Connector";"";
"6";"GREEN";"LED-SMD-GREEN";"CHIP-LED0603";"D3, D5, D6, D7, D8, D9";"";"";
"2";"JST_2PIN";"JST_2PIN";"JSTPH2";"J5, J8";"JST 2-Pin Right-Angle Connector";"";
"1";"KAE01SGGT";"KAE01SGGT";"KAE01SGGT";"S2";"";"";
"1";"MCP73833";"MCP73833";"MSOP10";"U4";"Lithium-Polymer/Lithium-Ion Battery Charger [Part No.]";"";
"1";"MIC2288YD5-TR";"MIC2288YD5-TR";"TSOT-23-5";"U3";"Boost Switching Regulator IC Positive Adjustable 2.5V 1 Output 1.2A (Switch) SOT-23-5 Thin, TSOT-23-5";"";
"1";"MICROSD";"MICROSD";"MICROSD";"J2";"Micro-SD / Transflash card holder with SPI pinout";"";
"1";"MINI-USB-UX60A-MB-5ST";"MINI-USB-UX60A-MB-5ST";"UX60A-MB-5ST";"J7";"MINI USB Connector";"";
"1";"PMEG4010EGWX";"SCHOTTKEY-DIODE-SOD123";"SOD123";"D4";"";"";
"1";"PTS645SK50SMTR92";"PTS645SK50SMTR92";"PTS645SK50SMTR92";"S1";"";"";
"2";"RED";"LED-SMD-RED";"CHIP-LED0603";"D1, D11";"";"";
"4";"TL1000F160Q";"TL1000F160Q";"TL1100";"S3, S4, S5, S6";"Tactile Switch SPST-NO Top Actuated Through Hole";"";
"1";"TLV70233DBVR";"TLV70233DBVR";"SOT-23-5";"U5";"";"";
"1";"TS3USB221";"TS3USB221";"10-PIN-UQFN";"U2";"High Speed USB 2.0 1:2 MUX-DEMUX switch with single enable";"";
"1";"UE27AC54100";"UE27AC54100";"USB-A";"J1";"";"";
"2";"YELLOW";"LED-SMD-YELLOW";"CHIP-LED0603";"D2, D10";"";"";
